,Vtest,Vrecon,BV0,BV1,BH0,BH1,W00,W01,W10,W11,epoch,trainingstep,analogZero,DA0,DV0,DV1,DH0,DH1,RA0,RV0,RV1,RH0,RH1,aV0,aV1,aH0,aH1,MSE
0,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1]]",0,3,4,2,-1,-2,6,2,-1,-1,,,,,,,,,,,,,,,,0.8328427124746189
1,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1]]",0,3,4,3,-1,-1,6,3,0,0,1.9709743589743591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9682344322344323,1.9774212454212456,1.9764542124542126,1.9730695970695973,0.882842712474619
2,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",-1,3,4,3,-2,-2,6,3,0,1,1.9696849816849817,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9683956043956046,1.9806446886446887,1.976776556776557,1.9766153846153847,0.7742640687119285
3,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1]]",-1,2,4,3,-2,-2,5,2,1,2,1.97178021978022,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.963882783882784,1.9816117216117217,1.9764542124542126,1.9761318681318683,0.7535533905932738
4,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0]]",-2,2,4,3,-3,-3,5,2,1,3,1.9711355311355312,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9642051282051283,1.9774212454212456,1.972908424908425,1.9746813186813188,0.6949747468305834
5,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",-2,2,4,3,-3,-3,5,2,2,4,1.9716190476190478,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.9601758241758243,1.976776556776557,1.9774212454212456,1.9782271062271064,0.7363961030678928
6,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 1], [0, 1], [0, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 0]]",-1,2,4,3,-2,-2,5,2,2,5,1.9701684981684984,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.9622710622710624,1.9766153846153847,1.976776556776557,1.9775824175824177,0.8035533905932738
7,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1]]",0,2,4,3,-1,-1,5,2,3,6,1.9719413919413922,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.9643663003663006,1.975809523809524,1.9766153846153847,1.976776556776557,0.8121320343559641
8,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [1, 1], [1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1]]",1,1,4,3,0,0,4,1,3,7,1.9695238095238097,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.969846153846154,1.975809523809524,1.977904761904762,1.977904761904762,0.8914213562373096
9,"[[1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1]]",0,1,4,3,-1,-1,4,1,4,8,1.9704908424908427,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9724249084249086,1.9701684981684984,1.9741978021978024,1.9761318681318683,0.8535533905932737
