,Vtest,Vrecon,BV0,BV1,BH0,BH1,W00,W01,W10,W11,epoch,trainingstep,analogZero,DA0,DV0,DV1,DH0,DH1,RA0,RV0,RV1,RH0,RH1,aV0,aV1,aH0,aH1,MSE
0,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0]]",-4,-2,0,1,-2,4,0,4,-1,-1,,,,,,,,,,,,,,,,1.0207106781186548
1,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 1], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 1], [1, 1]]",-4,-1,1,1,-2,4,1,5,0,0,1.9690402930402933,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.9721025641025642,1.9677509157509159,1.9683956043956046,1.972747252747253,0.9207106781186548
2,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 0], [1, 1], [0, 0], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0]]",-4,-2,1,1,-2,4,1,4,0,1,1.9704908424908427,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.9730695970695973,1.9706520146520148,1.9637216117216119,1.9840293040293042,1.0414213562373096
3,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1]]",-3,-2,0,1,-2,5,1,4,1,2,1.9692014652014653,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9724249084249086,1.9683956043956046,1.970007326007326,1.9743589743589745,0.9914213562373095
4,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0]]",-4,-2,0,1,-2,4,1,4,1,3,1.9690402930402933,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.972747252747253,1.9680732600732602,1.9633992673992675,1.9825787545787548,0.95
5,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 0]]",-5,-2,-1,1,-3,3,0,4,2,4,1.9703296703296704,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.970007326007326,1.9690402930402933,1.9632380952380954,1.9827399267399268,0.9207106781186548
6,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 1], [1, 1]]",-5,-1,0,1,-3,3,1,5,2,5,1.9706520146520148,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.9645274725274726,1.9672673992673995,1.9672673992673995,1.9721025641025642,0.8121320343559641
7,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[0, 0], [1, 1], [0, 0], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 0], [1, 1], [0, 0]]",-5,-2,0,1,-3,3,1,4,3,6,1.9716190476190478,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.9677509157509159,1.9722637362637363,1.9601758241758243,1.9816117216117217,0.9414213562373096
8,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1]]",-5,-1,0,1,-3,3,2,5,3,7,1.9690402930402933,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9692014652014653,1.9701684981684984,1.9695238095238097,1.9751648351648352,1.0242640687119287
9,"[[0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0]]","[[1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1]]",-4,-2,1,1,-2,4,2,4,4,8,1.9683956043956046,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.9651721611721613,1.9732307692307693,1.9675897435897438,1.9756483516483518,0.95
