,Vtest,Vrecon,BV0,BV1,BH0,BH1,W00,W01,W10,W11,epoch,trainingstep,analogZero,DA0,DV0,DV1,DH0,DH1,RA0,RV0,RV1,RH0,RH1,aV0,aV1,aH0,aH1,MSE
0,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 0]]",-4,2,4,-4,-7,-19,-4,1,-1,-1,,,,,,,,,,,,,,,,0.8449747468305832
1,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [1, 1], [0, 0], [0, 1], [0, 0], [0, 0], [0, 1], [0, 0], [0, 1]]",-3,2,4,-4,-6,-19,-4,1,0,0,1.9693626373626374,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9561465201465202,1.9622710622710624,1.9721025641025642,1.9653333333333334,0.9242640687119286
2,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 0]]",-3,1,4,-4,-6,-19,-4,1,0,1,1.968879120879121,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.9682344322344323,1.9703296703296704,1.9561465201465202,1.9372893772893773,0.9535533905932738
3,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [1, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0]]",-3,2,3,-5,-6,-19,-4,1,1,2,1.9708131868131868,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.9561465201465202,1.9596923076923078,1.973875457875458,1.9650109890109893,0.8742640687119285
4,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1]]",-3,3,3,-4,-6,-19,-3,2,1,3,1.970007326007326,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.9575970695970697,1.963882783882784,1.9701684981684984,1.9642051282051283,0.9363961030678928
5,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1]]",-3,3,4,-3,-6,-19,-2,3,2,4,1.9708131868131868,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.9616263736263737,1.9667838827838828,1.9637216117216119,1.9664615384615385,0.9863961030678927
6,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1]]",-3,3,4,-3,-6,-19,-2,3,2,5,1.9693626373626374,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.9669450549450551,1.9714578754578755,1.9587252747252748,1.9413186813186813,1.0071067811865475
7,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0]]",-3,3,3,-4,-6,-19,-3,2,3,6,1.9708131868131868,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.957919413919414,1.9675897435897438,1.9669450549450551,1.9704908424908427,0.8449747468305834
8,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1]]",-3,4,3,-3,-6,-19,-2,3,3,7,1.969846153846154,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.957919413919414,1.963882783882784,1.9611428571428573,1.9611428571428573,0.9071067811865475
9,"[[1, 0], [0, 1], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0]]","[[0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]]",-3,4,4,-2,-6,-19,-1,4,4,8,1.970007326007326,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.9572747252747253,1.9685567765567766,1.9669450549450551,1.9714578754578755,0.9571067811865476
