,Vtest,Vrecon,BV0,BV1,BH0,BH1,W00,W01,W10,W11,epoch,trainingstep,analogZero,DA0,DV0,DV1,DH0,DH1,RA0,RV0,RV1,RH0,RH1,aV0,aV1,aH0,aH1,MSE
0,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0]]",-1,-2,-4,1,-7,-11,-3,-10,-1,-1,,,,,,,,,,,,,,,,0.9
1,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [1, 0], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0], [1, 0], [0, 0], [1, 1], [0, 0], [1, 1]]",-1,-1,-4,1,-7,-11,-3,-10,0,0,1.969846153846154,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9690402930402933,1.9642051282051283,1.9611428571428573,1.9712967032967035,0.85
2,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1]]",-1,0,-4,1,-7,-11,-3,-10,0,1,1.9664615384615385,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.944703296703297,1.945992673992674,1.9630769230769232,1.9683956043956046,1.0
3,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0]]",-2,0,-4,1,-7,-11,-3,-10,1,2,1.9706520146520148,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.968717948717949,1.9669450549450551,1.9450256410256412,1.9424468864468867,1.0
4,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0]]",-1,-1,-4,1,-7,-11,-3,-10,1,3,1.9690402930402933,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.967912087912088,1.9663003663003664,1.9543736263736264,1.9584029304029305,0.95
5,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0], [1, 1], [0, 0]]",0,-1,-5,0,-7,-11,-3,-10,2,4,1.968717948717949,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.9663003663003664,1.964849816849817,1.9633992673992675,1.9756483516483518,0.95
6,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 0]]",1,-1,-5,-1,-7,-11,-3,-10,2,5,1.9706520146520148,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9553406593406595,1.9490549450549453,1.9614652014652016,1.9706520146520148,0.8707106781186548
7,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1]]",2,0,-5,-1,-7,-11,-3,-10,3,6,1.9685567765567766,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9461538461538463,1.9442197802197803,1.960981684981685,1.9685567765567766,0.8414213562373096
8,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [0, 0], [1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 1], [1, 1], [0, 0], [1, 1]]",3,0,-5,-1,-7,-11,-3,-10,3,7,1.9683956043956046,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9587252747252748,1.9521172161172162,1.960981684981685,1.9680732600732602,0.9621320343559642
9,"[[1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [0, 1], [1, 0], [1, 0], [1, 0]]","[[1, 1], [1, 0], [1, 1], [1, 0], [1, 1], [1, 0], [1, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 1], [1, 1], [1, 0], [1, 1], [0, 0], [1, 1], [1, 0], [1, 0], [1, 1]]",4,0,-5,-1,-7,-11,-3,-10,4,8,1.9703296703296704,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.958886446886447,1.9509890109890111,1.9621098901098903,1.968717948717949,0.8121320343559641
